"manifest_id","version","name","path","size","sha256_raw","sha256_lf_normalized","origin","local_relation","classification","remote_statement_evidence"
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724161706","contextual_domains_advisor_hardening","remote://supabase_migrations/schema_migrations/20260724161706",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724162210","contextual_chat_lifecycle_hardening","packages/coelo_database/migrations/20260724162210_contextual_chat_lifecycle_hardening.sql","11646","a8f8ac522d74c0b31eba89f1121a279243c27a457eb97a394832a89548cad39b","40f28502fbd28933cf1284645cbff8e33e943f5fe8626956e578f0170efd01cf","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724162210","contextual_chat_lifecycle_hardening","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260724162210_contextual_chat_lifecycle_hardening.sql","11274","40f28502fbd28933cf1284645cbff8e33e943f5fe8626956e578f0170efd01cf","40f28502fbd28933cf1284645cbff8e33e943f5fe8626956e578f0170efd01cf","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724162210","contextual_chat_lifecycle_hardening","remote://supabase_migrations/schema_migrations/20260724162210",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724162604","contextual_chat_trigger_hardening","packages/coelo_database/migrations/20260724162604_contextual_chat_trigger_hardening.sql","4646","ef7e97f92e628a5c91157bb8cdc9dae17576c39ff61df944996e42dee960733b","4dfb6425a52e7b25346a58f887cbe9c7b1d40802739c3f667b30e9a9139adfd7","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724162604","contextual_chat_trigger_hardening","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260724162604_contextual_chat_trigger_hardening.sql","4552","4dfb6425a52e7b25346a58f887cbe9c7b1d40802739c3f667b30e9a9139adfd7","4dfb6425a52e7b25346a58f887cbe9c7b1d40802739c3f667b30e9a9139adfd7","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724162604","contextual_chat_trigger_hardening","remote://supabase_migrations/schema_migrations/20260724162604",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724162900","contextual_chat_audit_schema_hardening","packages/coelo_database/migrations/20260724162900_contextual_chat_audit_schema_hardening.sql","568","80ae137c545d21cf63c3a5fa3fd11a870a59a021dc59337b2dba283553419549","2dd3166951466edfd6ca3db20488e0c25c15614fe790f2a8f79786b86e1044a8","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724162900","contextual_chat_audit_schema_hardening","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260724162900_contextual_chat_audit_schema_hardening.sql","546","2dd3166951466edfd6ca3db20488e0c25c15614fe790f2a8f79786b86e1044a8","2dd3166951466edfd6ca3db20488e0c25c15614fe790f2a8f79786b86e1044a8","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724162900","contextual_chat_audit_schema_hardening","remote://supabase_migrations/schema_migrations/20260724162900",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260727130433","remediate_schema_column_catalog_completeness","packages/coelo_database/migrations/20260727130433_remediate_schema_column_catalog_completeness.sql","4662","ffa67d796d7586b2fce8ff7682ac6349b35976f0509cdce88001dce0eb925606","2134f33006277b28d90022fe5f3ec8073e97ca9c8c23501817bd63f91ff4da44","canonical","raw-identical","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260727130433","remediate_schema_column_catalog_completeness","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260727130433_remediate_schema_column_catalog_completeness.sql","4662","ffa67d796d7586b2fce8ff7682ac6349b35976f0509cdce88001dce0eb925606","2134f33006277b28d90022fe5f3ec8073e97ca9c8c23501817bd63f91ff4da44","recovery","raw-identical","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260727130433","remediate_schema_column_catalog_completeness","remote://supabase_migrations/schema_migrations/20260727130433",,,,"remote-ledger","raw-identical","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260728172333","institution_profile_and_legal_representatives","packages/coelo_database/migrations/20260728172333_institution_profile_and_legal_representatives.sql","17189","6be5f3ebb001d9f1c24aac650a9762a10cafda099300127062df629323f69f68","9a300b0ccbc990d1a7d57774b8c3de0484be0468fd579af71184518538672c6d","canonical","raw-identical","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260728172333","institution_profile_and_legal_representatives","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260728172333_institution_profile_and_legal_representatives.sql","17189","6be5f3ebb001d9f1c24aac650a9762a10cafda099300127062df629323f69f68","9a300b0ccbc990d1a7d57774b8c3de0484be0468fd579af71184518538672c6d","recovery","raw-identical","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260728172333","institution_profile_and_legal_representatives","remote://supabase_migrations/schema_migrations/20260728172333",,,,"remote-ledger","raw-identical","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260728203000","cover_institution_legal_representative_membership_fk","packages/coelo_database/migrations/20260728203000_cover_institution_legal_representative_membership_fk.sql","278","f14e603ccbdcba05fbb7f1d9df53b536361b7b0e58693e0baba6e7e13427f8f9","3845485114f3a128750f2ba0bb92ad6291ced9d06c2021b33d9b626a93f11538","canonical","raw-identical","remote-version+head-present",
